Domain,Computer,IP Address,Listen Port,Domain Hierarchy,Connection Status,GUID,Scan Method,File Reputation service Status,File Reputation service URL,Web Reputation service Status,Web Reputation service URL,Virus/Malware,Spyware/Grayware,OPP,Update Agent Component,Update Agent Setting,Update Agent Program and Hotfixes,Platform,Architecture,MAC Address,Client Program,Cisco Trust Agent,Smart Scan Agent Pattern,Virus Pattern,IntelliTrap Pattern,IntelliTrap Exception Pattern,Virus Scan Engine,Spyware Pattern,Spyware Active-monitoring Pattern,Spyware Scan Engine,Virus Cleanup Template,Virus Cleanup Engine,Behavior Monitoring Driver,Behavior Monitoring Core Service,Behavior Monitoring Configuration Pattern,Digital Signature Pattern,Policy Enforcement Pattern,Behavior Monitoring Detection Pattern,Last Startup,Last Shutdown,Client Installation,Client Upgrade,Hotfix,Last Virus Scan (Manual),Last Virus Scan (Real-time),Last Virus Scan (Scheduled),Last Virus Scan (Scan Now),Last Spyware Scan (Manual),Last Spyware Scan (Real-time),Last Spyware Scan (Scheduled),Last Spyware Scan (Scan Now),C&C IP List,
Workgroup\,P5TE-54001850,172.30.26.82,32618,Workgroup\,Online,188ba4ac-ce85-4f98-b8de-eeb453658e32,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,02-BF-AC-1E-1A-17,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 19:24:49,8/11/2018 15:09:05,12/19/2017 10:00:25,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001851,172.30.26.81,32618,Workgroup\,Online,e860bfe1-18b7-4524-836f-d6af08ee7836,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,02-BF-AC-1E-1A-17,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 19:24:46,8/11/2018 15:08:19,2/13/2018 13:06:46,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001861,172.30.26.87,12345,Workgroup\,Online,2fbfdbcb-60b5-4e73-ab96-cf940fd83c95,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,EC-EB-B8-8A-71-7E,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 20:12:10,8/11/2018 15:09:56,4/23/2018 15:55:37,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001862,172.30.26.25,12345,Workgroup\,Online,dd9296ee-7554-4f26-bbe4-c5a2dff0c3dc,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,EC-EB-B8-8A-B1-46,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 15:11:12,8/11/2018 15:06:37,4/23/2018 15:55:32,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-OFFICESCAN,192.168.123.52,32618,Workgroup\,Online,605f4902-5461-4db6-b115-37821a249db4,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,00-1E-C9-F3-30-D6,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 14:36:02,8/11/2018 14:31:53,5/30/2017 9:12:22,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-RFLOG,192.168.123.168,32618,Workgroup\,Online,9a682eef-15d2-4296-ba84-2bfda9de4950,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,00-1E-C9-F3-2E-6C,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 15:10:25,8/11/2018 15:07:23,5/30/2017 9:13:19,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,PRELOAD3,172.30.26.22,12345,Workgroup\,Online,ceba1e1a-faf2-444f-9bfd-99136d0ad23c,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,00-1B-21-D3-46-FB,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 10:41:15,8/13/2018 10:35:23,5/30/2017 19:20:58,5/30/2017 19:33:47,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,PRELOADMIDD,172.30.26.53,12345,Workgroup\,Online,3cc1a00d-33dc-4935-bb4f-81b7694216d8,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x64,E4-11-5B-B3-91-7C,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 19:46:05,N/A,5/30/2017 13:23:41,5/30/2017 13:32:33,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgrounp\,RFTE_SERVER,192.168.123.166,12345,Workgrounp\,Online,59e6aabe-8d91-4de5-88a5-4987c6325ab2,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,00-25-90-09-18-7E,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 11:07:30,8/13/2018 11:03:38,5/30/2017 18:20:16,5/30/2017 18:34:22,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,SFCS-231,192.168.123.231,12345,Workgroup\,Online,0366d410-17e0-4b91-89b8-894f11e17a0c,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x64,E4-11-5B-B3-84-F6,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.950.1006,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 10:54:15,8/13/2018 10:49:03,8/11/2018 11:07:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
